AEther Searcher	乙太探寻客
Chaos Orb	混沌法球
Chaos Warp	混沌歪曲
Chaoslace	混乱纹饰
Chaosphere	混沌体
Chaotic Backlash	混沌反挫
Chaotic Goo	混沌堌
Chaotic Strike	趁乱打击
Chapel Geist	礼拜堂游魂
Chaplain's Blessing	教士祝福
Char	烤焦
Char-Rumbler	隆响煤妖
Charcoal Diamond	炭黑钻石
Charge Across the Araba	冲越荒场
Charging Badger	冲锋獾
Charging Bandits	冲锋的土匪
Charging Cinderhorn	烬角蛮牛
Charging Griffin	冲锋狮鹫
Charging Monstrosaur	猛冲暴霸龙
Charging Paladin	冲锋神圣武士
Charging Rhino	冲锋犀牛
Charging Slateback	冲锋瓦背兽
Charging Troll	冲锋巨魔
Chariot of Victory	胜利战车
Chariot of the Sun	烈日战车
Charisma	领袖魅力
Charm Peddler	护符小贩
Charmbreaker Devils	断符魔鬼
Charmed Griffin	受惑的狮鹫
Charmed Pendant	附禳垂饰
Charnelhoard Wurm	埋骨所亚龙
Chart a Course	规划航路
Chartooth Cougar	乌牙山狮
Chasm Drake	深峡龙兽
Chasm Guide	深峡向导
Chasm Skulker	深峡潜怪
Chastise	惩戒
Chatter of the Squirrel	松鼠的絮聒
Chemister's Trick	化学师的诡计
Chief Engineer	总工程师
Chief of the Edge	刃锋族长
Chief of the Foundry	铸造厂主管
Chief of the Scale	龙鳞族长
Chieftain en-Dal	达奥族骑士长
Child of Alara	阿拉若之子
Child of Gaea	盖亚之子
Child of Night	暗夜之子
Child of Thorns	荆棘之子
Childhood Horror	幼年惊惧兽
Children of Korlis	寇利斯之子
Chill	冰冷
Chill Haunting	寒冰迫魂
Chill of Foreboding	不寒而栗
Chill to the Bone	寒澈骨
Chilling Apparition	寒冰幻影
Chilling Grasp	寒冰攫
Chilling Shade	寒冰阴魂
Chime of Night	夜之鸣钟
Chimeric Coils	盖美拉盘卷
Chimeric Egg	盖美拉蛋
Chimeric Idol	盖美拉雕偶
Chimeric Mass	盖美拉团块
Chimeric Sphere	盖美拉之球
Chimeric Staff	盖美拉之杖
Chimney Imp	烟囱小恶魔
Chisei, Heart of Oceans	汪洋之心致清
Chitinous Cloak	硬壳斗篷
Chittering Host	吱响寄主
Chittering Rats	吱叫老鼠
Chlorophant	叶绿象
Cho-Arrim Alchemist	柯·尔林炼金术士
Cho-Arrim Bruiser	柯·尔林巨汉
Cho-Arrim Legate	柯·尔林特使
Cho-Manno's Blessing	柯·曼诺的祝福
Cho-Manno, Revolutionary	革命家柯·曼诺
Choice of Damnations	破灭抉择
Choke	窒息
Choked Estuary	阻滞河口
Choking Fumes	窒息烟气
Choking Restraints	窒息缠肢
Choking Sands	窒息之沙
Choking Tethers	窒息栓练
Choking Vines	缠颈藤蔓
Chord of Calling	和声召集
Chorus of Might	瀚力韵集
Chorus of Woe	灾祸的合唱
Chorus of the Conclave	盟会韵集
Chorus of the Tides	浪潮韵集
Chosen by Heliod	赫利欧德眷宠
Chosen of Markov	马可夫的爱民
Chromanticore	五彩翼狮
Chromatic Armor	五彩铠甲
Chromatic Lantern	五彩宫灯
Chromatic Sphere	五彩球
Chromatic Star	五彩星
Chrome Mox	五彩玛珂
Chrome Steed	铬亮驹
Chromescale Drake	铬鳞龙兽
Chromeshell Crab	铬甲蟹
Chromium	克罗米恩
Chronatog	时空阿托格
Chronatog Totem	时空阿托格图腾像
Chronic Flooding	长期水患
Chronicler of Heroes	英雄年代史家
Chronomantic Escape	趋吉避凶
Chronomaton	时计机械兽
Chronosavant	时间学者
Chronostutter	扰时迷术
Chronozoa	时胞飞兽
Chub Toad	胖蟾蜍
Churning Eddy	搅拌涡流
Cinder Barrens	煤烬瘠地
Cinder Cloud	煤渣云
Cinder Crawler	煤渣爬虫
Cinder Elemental	煤渣元素
Cinder Giant	煤巨人
Cinder Glade	烬火林地
Cinder Hellion	烬火地狱兽
Cinder Marsh	煤沼
Cinder Pyromancer	烬身烈焰术士
Cinder Seer	煤渣预言师
Cinder Shade	烬火怪影
Cinder Storm	煤渣风暴
Cinder Wall	煤墙
Cinderbones	骨烬身
Cinderhaze Wretch	卑劣雾烬身
Circle of Affliction	苦恼护圈
Circle of Despair	绝望护圈
Circle of Elders	长老议群
Circle of Flame	火焰围圈
Circle of Protection: Artifacts	反神器保护环
Circle of Protection: Black	反黑保护环
Circle of Protection: Blue	反蓝保护环
Circle of Protection: Green	反绿保护环
Circle of Protection: Red	反红保护环
Circle of Protection: Shadow	反幽影保护环
Circle of Protection: White	反白保护环
Circle of Solace	抚慰护圈
Circling Vultures	盘旋的秃鹰
Circu, Dimir Lobotomist	底密尔脑切师瑟库
Circular Logic	循环逻辑
Citadel Castellan	殿堂监守
Citadel Siege	围攻殿堂
Citadel of Pain	痛苦堡垒
Citanul Centaurs	西坦努半人马
Citanul Druid	西坦努德鲁伊
Citanul Flute	西坦努笛
Citanul Hierophants	西坦努法皇
Citanul Woodreaders	西坦努阅树师
City in a Bottle	瓶中之城
City of Brass	黄铜之都
City of Shadows	暗影之城
City of Solitude	孤寂之城
City of Traitors	叛徒之都
Civic Guildmage	市民公会法师
Civic Saber	市民配刀
Civic Wayfinder	城市引路人
Civilized Scholar	文雅学者
Claim (Claim/Fame)	夺回 (夺回/名誉)
Claim of Erebos	厄睿柏斯索魂
Clairvoyance	鹰眼术
Clan Defiance	部族反抗
Clarion Ultimatum	号召通牒
Clash of Realities	实界交锋
Clash of Wills	意志交锋
Claustrophobia	幽闭恐怖症
Claws of Gix	基克斯之爪
Claws of Valakut	瓦拉库之爪
Claws of Wirewood	修索林之爪
Clay Statue	黏土雕像
Cleanfall	净空
Cleanse	驱扫
Cleansing	洁净大地
Cleansing Beam	净化光束
Cleansing Meditation	净化冥思
Clear	清净
Clear Shot	精准一击
Clear a Path	杀出血路
Clear the Land	理清耕地
Clearwater Goblet	净水圣杯
Cleaver Riot	持刀暴乱
Clergy en-Vec	维克族的圣职者
Clergy of the Holy Nimbus	圣玄云的圣职者
Cleric of the Forward Order	前锋团僧侣
Clever Impersonator	机敏冒名客
Clickslither	响走怪虫
Cliff Threader	绳索攀崖人
Cliffhaven Vampire	崖屋吸血鬼
Cliffrunner Behemoth	奔崖巨兽
Cliffside Lookout	峭壁警戒员
Clifftop Retreat	崖顶修行所
Clinging Anemones	紧缠海葵
Clinging Darkness	黑暗紧缠
Clinging Mists	迷雾紧缠
Clip Wings	缠住羽翼
Cloak and Dagger	斗篷与短刀
Cloak of Confusion	迷惑之袍
Cloak of Feathers	飞羽斗篷
Cloak of Invisibility	隐身披风
Cloak of Mists	迷雾披风
Cloaked Siren	隐匿塞连
Clock of Omens	预兆时钟
Clockspinning	扭转时钟
Clockwork Avian	发条鸟
Clockwork Beast	发条兽
Clockwork Beetle	发条甲虫
Clockwork Condor	发条秃鹰
Clockwork Dragon	发条巨龙
Clockwork Gnomes	发条侏儒
Clockwork Hydra	发条多头龙
Clockwork Steed	发条马
Clockwork Swarm	发条虫群
Clockwork Vorrac	发条博锐兽
Cloistered Youth	幽禁少女
Clone	仿生妖
Clone Legion	仿幻成军
Clone Shell	仿生外壳
Close Quarters	近身战
Clot Sliver	凝血裂片妖
Cloud Cover	云雾遮蔽
Cloud Crusader	云际十字军
Cloud Djinn	云巨灵
Cloud Dragon	云龙
Cloud Elemental	云元素
Cloud Key	云钥
Cloud Manta	云际鳐
Cloud Pirates	腾云的海盗
Cloud Spirit	云精灵
Cloud Sprite	云仙子
Cloud of Faeries	仙灵云群
Cloudblazer	云间辟道者
Cloudchaser Eagle	逐云翔鹰
Cloudchaser Kestrel	逐云飞隼
Cloudcrest Lake	顶云湖
Cloudcrown Oak	云冠橡树
Cloudfin Raptor	云鳍掠食者
Cloudform	幻云赋形
Cloudgoat Ranger	云山羊巡林者
Cloudheath Drake	云原龙兽
Cloudhoof Kirin	云蹄麒麟
Cloudpost	云际哨站
Cloudreach Cavalry	逐云骑兵
Cloudseeder	布云仙灵
Cloudshift	云移
Cloudskate	滑云鳐
Cloudstone Curio	云石古物
Cloudthresher	扫云怪
Clout of the Dominus	主宰赋力
Cloven Casting	多层施咒
Clutch of Currents	潮流紧攫
Clutch of Undeath	亡物魔掌
Clutch of the Undercity	地底城魔掌
Coal Golem	煤炭魔像
Coal Stoker	煤司炉
Coalhauler Swine	负煤猪
Coalition Flag	联盟军旗
Coalition Honor Guard	联盟仪队兵
Coalition Relic	联盟遗宝
Coalition Victory	众志成城
Coast Watcher	海岸看守人
Coastal Breach	裂岸怒涛
Coastal Discovery	海岸发现
Coastal Drake	海岸龙兽
Coastal Hornclaw	海岸鸿爪鸟
Coastal Piracy	沿海盗虐
Coastal Tower	海岸楼塔
Coastal Wizard	海岸法术师
Coastline Chimera	海岸盖美拉
Coat of Arms	武装外衣
Coat with Venom	淬毒
Coax from the Blind Eternities	召自黑暗虚空
Cobalt Golem	钴魔像
Cobblebrute	鹅卵石蛮汉
Cobbled Wings	拼凑翅翼
Cobra Trap	眼镜蛇陷阱
Cockatrice	石化鸡蛇
Cocoon	茧
Codex Shredder	纸本搅碎器
Coerced Confession	被迫招供
Coercion	威迫
Coercive Portal	胁迫通道
Coffin Puppets	棺木傀儡
Coffin Purge	清棺
Coffin Queen	棺木女王
Cognivore	噬识兽
Cogwork Assembler	齿轮组装工
Cogwork Grinder	齿轮碾磨兽
Cogwork Librarian	齿轮图书管理员
Cogwork Spy	齿轮探子
Cogwork Tracker	齿轮追猎犬
Cogworker's Puzzleknot	齿轮工谜结
Coiled Tinviper	盘卷锡蛇
Coiling Oracle	盘卷先知
Coiling Woodworm	盘卷树虫
Coils of the Medusa	梅杜莎发卷
Cold Snap	寒冷骤变
Cold Storage	冷冻库
Cold-Eyed Selkie	冷眼海豹妖
Coldsteel Heart	寒钢核心
Colfenor's Plans	柯芬诺的计划
Colfenor's Urn	柯芬诺的瓮
Collapsing Borders	崩坏边界
Collateral Damage	连带伤害
Collected Company	征召军伍
Collective Blessing	集体祝福
Collective Brutality	携手逞威
Collective Defiance	携手反抗
Collective Effort	携手合力
Collective Restraint	集体管押
Collective Unconscious	集体潜意识
Collective Voyage	集体游历
Collective Voyage \n	集体远行
Colos Yearling	幼寇骡
Colossal Dreadmaw	庞巨血口龙
Colossal Heroics	巨身勇行
Colossal Might	巨像之力
Colossal Whale	超巨鲸
Colossapede	庞巨蜈蚣
Colossodon Yearling	初年硕齿兽
Colossus of Akros	阿喀洛斯巨像
Colossus of Sardia	沙地亚巨像
Coma Veil	昏迷帘幕
Combat Celebrant	战斗主祭
Combat Medic	战斗医护兵
Combust	烧燃
Combustible Gearhulk	易燃巨械
Comet Storm	彗星雨
Comeuppance	自业自得
Command Beacon	指挥信标
Command Tower	指挥塔
Command of Unsummoning	归还令
Commandeer	霸占
Commander Eesha	伊夏指挥官
Commander Greven il-Vec	格利文指挥官
Commander's Authority	指挥官威信
Commander's Sphere	指挥官法球
Commando Raid	突击入侵
Commencement of Festivities	节庆开始
Commit // Memory	寄托//记忆
Common Bond	共同联系
Common Cause	共同目标
Commune with Dinosaurs	恐龙商谈
Commune with Lava	熔岩通贯
Commune with Nature	林野商谈
Commune with the Gods	领受神言
Comparative Analysis	比较分析
Compelling Argument	强言论断
Compelling Deterrence	威压
Complete Disregard	彻底忽视
Complex Automaton	繁杂的机械兽
Complicate	混杂情势
Composite Golem	拼组魔像
Compost	堆肥
Compulsion	强迫症
Compulsive Research	强制探寻
Compulsory Rest	强制安息
Concealed Courtyard	隐秘庭院
Concentrate	专注
Concerted Effort	协力合作
Conch Horn	海螺号角
Conclave Equenaut	盟会飞马骑士
Conclave Naturalists	盟会归真师
Conclave Phalanx	盟会方阵兵团
Conclave's Blessing	盟会的祝福
Concordant Crossroads	和谐会所
Concordia Pegasus	齐心飞马
Concussive Bolt	震荡击
Condemn	判罪
Condescend	睥睨
Conduit of Emrakul	伊莫库唤狼
Conduit of Ruin	崩毁恶体
Conduit of Storms	风暴唤狼
Cone of Flame	火炎锥
Confessor	告解神父
Confirm Suspicions	确认疑点
Confiscate	没收
Confiscation Coup	即刻征收
Conflagrate	暴燃
Conflux	聚流
Confound	混淆
Confront the Unknown	勇迎未知
Confusion in the Ranks	身份混乱
Congregate	聚集
Congregation at Dawn	破晓聚会
Conifer Strider	针叶林神行客
Conjured Currency	变出货币
Conjurer's Ban	咒法师的禁咒
Conjurer's Bauble	咒法师饰品
Conjurer's Closet	咒法师之柜
Conquer	占领
Conquering Manticore	威服翼狮
Conqueror's Flail	征服者连枷
Conqueror's Foothold	征服者据点
Conqueror's Galleon	征服者巨帆船
Conqueror's Pledge	征服誓言
Consecrate Land	祝圣大地
Consecrated Sphinx	祝圣史芬斯
Consecrated by Blood	以血祝圣
Conservator	保护器
Consign (Consign/Oblivion)	托诸 (托诸/东流)
Consign to Dream	托诸梦想
Consign to Dust	托诸尘土
Conspiracy	同谋
Constant Mists	迷雾萦绕
Constricting Sliver	缠缚裂片妖
Constricting Tendrils	束缚卷须
Consul's Lieutenant	执政副官
Consul's Shieldguard	执政官盾卫
Consulate Crackdown	执政院镇压
Consulate Dreadnought	执政院无畏舰
Consulate Skygate	执政院空闸
Consulate Surveillance	执政监视网
Consulate Turret	执政院炮台
Consult the Necrosages	请示死冥贤者
Consume Spirit	吞噬灵魂
Consume Strength	吞噬力量
Consume the Meek	吞噬弱者
Consuming Aberration	吞噬畸变体
Consuming Bonfire	营火吞噬
Consuming Ferocity	吞噬血性
Consuming Fervor	透体激情
Consuming Sinkhole	吞噬深坑
Consuming Vapors	化骨毒气
Consuming Vortex	吞噬漩涡
Consumptive Goo	吞噬流浆
Contagion	传染
Contagion Clasp	传染扣
Contagion Engine	传染引擎
Contagious Nim	带原泞族
Containment Membrane	隔离薄膜
Containment Priest	围护僧侣
Contaminated Bond	污化羁绊
Contaminated Ground	污化地界
Contamination	污化
Contemplation	凝视
Contempt	藐视
Contested Cliffs	争雄崖
Contested War Zone	争斗战区
Contingency Plan	应急计划
Contraband Kingpin	禁品主谋
Contract Killing	雇凶杀人
Contract from Below	下界之契约
Contradict	反驳
Control Magic	魔法操控术
Control of the Court	干涉朝政
Controlled Instincts	本能受制
Controvert	辩驳
Conundrum Sphinx	谜题史芬斯
Convalescence	渐愈
Convalescent Care	康复期护理
Conversion	夷为平地
Conversion Chamber	转化室
Convicted Killer	判罪杀手
Conviction	使命感
Convincing Mirage	逼真幻影
Convolute	回旋
Convulsing Licid	痉挛立吸怪
Cooperate (Refuse/Cooperate)	合作 (拒绝/合作)
Cooperation	合作
Coordinated Assault	协同突击
Coordinated Barrage	协力齐击
Copper Carapace	铜壳甲
Copper Gnomes	黄铜侏儒
Copper Myr	铜秘耳
Copper Tablet	黄铜箔片
Copper-Leaf Angel	铜箔天使
Copperhoof Vorrac	铜蹄博锐兽
Copperhorn Scout	铜号斥候
Copperline Gorge	铜索峡谷
Copy Artifact	复制神器
Copy Enchantment	复制结界
Coral Atoll	环珊瑚礁
Coral Barrier	珊瑚屏障
Coral Eel	珊瑚礁鳗
Coral Fighters	珊瑚斗士
Coral Helm	珊瑚头盔
Coral Merfolk	珊瑚人鱼
Coral Net	珊瑚网
Coral Reef	珊瑚暗礁
Coral Trickster	珊瑚诈术师
Coralhelm Commander	珊瑚盔指挥官
Coralhelm Guide	珊瑚盔向导
Core Prowler	核心游掠者
Coretapper	核心聚能机
Cornered Market	垄断市场
Corpse Augur	尸体卜算师
Corpse Blockade	死尸路障
Corpse Churn	尸体翻搅
Corpse Connoisseur	死尸鉴赏家
Corpse Cur	尸首幼犬
Corpse Dance	尸骸之舞
Corpse Harvester	尸骸收获人
Corpse Hauler	死尸搬运人
Corpse Lunge	死尸扑击
Corpse Traders	尸首贩商
Corpsehatch	尸囊育种
Corpsejack Menace	占尸威逼
Corpseweft	编纺尸骸
Corpulent Corpse	肥胖死尸
Corrosion	腐锈
Corrosive Gale	腐蚀狂风
Corrosive Mentor	蚀命明师
Corrupt	腐化
Corrupt Court Official	贪官污吏
Corrupt Eunuchs	十常侍
Corrupt Official	贪污的官僚
Corrupted Conscience	感知染污
Corrupted Crossroads	腐化会所
Corrupted Grafstone	腐化墓碑
Corrupted Harvester	腐化索命妖
Corrupted Resolve	腐化决心
Corrupted Roots	根部腐化
Corrupted Zendikon	腐化赞迪肯
Corrupting Licid	堕落立吸怪
Cosi's Ravager	寇希噬怪
Cosi's Trickster	寇希诈术师
Cosmic Horror	宇宙惊惧兽
Cosmic Larva	宇宙幼兽
Costly Plunder	昂贵劫夺
Council Guardian	议会守护者
Council of Advisors	参谋会议
Council of the Absolute	完粹议会
Council's Judgment	众议裁定
Counsel of the Soratami	空民商议
Counterbalance	抵销
Counterbore	反击锥孔
Counterflux	魔力断流
Counterintelligence	反间行动
Counterlash	反打
Countermand	勒令撤销
Counterspell	反击咒语
Countersquall	反击旋风
Countervailing Winds	抵消狂风
Countless Gears Renegade	众械乱匠
Countryside Crusher	乡间破坏人
Courageous Outrider	勇猛前导兵
Courier Griffin	讯使狮鹫
Courier Hawk	讯使翔鹰
Courier's Capsule	讯使坠盒
Courser of Kruphix	克罗芬斯的骏马
Coursers' Accord	骏马相随
Court Archers	庭园弓箭手
Court Homunculus	庭园造妖
Court Hussar	法庭轻骑兵
Court Street Denizen	法庭街居民
Courtly Provocateur	优雅挑拨师
Covenant of Blood	鲜血盟约
Covenant of Minds	心灵盟约
Cover of Darkness	夜色掩护
Cover of Winter	寒冬掩护
Covert Operative	隐踪密探
Coveted Peacock	簇捧孔雀
Covetous Dragon	贪婪巨龙
Cowardice	怯懦
Cowed by Wisdom	为智畏服
Cower in Fear	恐惧畏缩
Cowl Prowler	外沿区游掠亚龙
Crab Umbra	马蹄蟹本影
Crabapple Cohort	山楂助拳人
Crack the Earth	地表迸裂
Crackdown	严惩
Crackdown Construct	防暴组构体
Crackleburr	爆音妖
Crackling Club	爆裂棍
Crackling Doom	裂响终末
Crackling Perimeter	裂响周围
Crackling Triton	爆裂屈东
Cradle Guard	育苗地守卫
Cradle of Vitality	孕育活力
Cradle of the Accursed	遭诅者源墓
Cradle to Grave	浮生瞬息
Crafty Pathmage	狡智径法师
Crag Puca	峭壁铺卡
Crag Saurian	峭壁蜥
Cragganwick Cremator	喀干伟火葬师
Cranial Archive	颅内档案
Cranial Extraction	颅内萃取
Cranial Plating	颅骨护甲
Crash	冲撞
Crash Landing	迫降
Crash Through	全力突破
Crash of Rhinos	猛进犀牛
Crash the Ramparts	冲破壁垒
Crashing Boars	冲撞公野猪
Crashing Centaur	猛进半人马
Crater Elemental	山口元素
Crater Hellion	火山地狱兽
Crater's Claws	山口龙爪
Craterhoof Behemoth	陨蹄贝西摩斯
Craterize	化为陨坑
Craven Giant	懦弱巨人
Craven Knight	怯懦的骑士
Craw Giant	贪食的巨人
Craw Wurm	巨爪亚龙
Crawling Filth	污秽匍兽
Crawling Sensation	蠕爬异感
Crawlspace	狭窄空间
Crazed Armodon	疯狂盾皮象
Crazed Firecat	狂乱火焰猫
Crazed Goblin	狂乱精灵
Crazed Skirge	疯狂斯克魔
Creakwood Ghoul	响枝林食尸鬼
Creakwood Liege	响枝林王侯
Cream of the Crop	最顶尖
Creature Bond	生物契约
Credit Voucher	信用状
Creeperhulk	匍行巨蔓
Creeping Corrosion	蔓延侵蚀
Creeping Dread	恐惧蔓延
Creeping Mold	爬行腐霉
Creeping Renaissance	可怖复起
Creeping Tar Pit	恶心焦油坑
Creepy Doll	可怖娃娃
Cremate	火葬
Crenellated Wall	射口墙
Crescendo of War	战争的高潮
Crested Craghorn	巨冠崖角兽
Crested Sunmare	华冠日魇
Crevasse	裂隙
Crib Swap	暗中掉包
Crime (Crime/Punishment)	罪行 (惩罚/罪行)
Crimson Acolyte	绯红侍僧
Crimson Hellkite	绯红残虐者
Crimson Kobolds	绯红鬼崽
Crimson Mage	绯红法师
Crimson Manticore	赤色的翼狮
Crimson Muckwader	绯红泥蜥
Crimson Roc	绯红巨鸟
Crimson Wisps	深红鬼火
Crippling Blight	致残萎躯
Crippling Chill	致残冰寒
Crippling Fatigue	委顿不堪
Crocanura	鳄蛙
Crocodile of the Crossing	分岔口鳄鱼
Cromat	克罗玛特
Crook of Condemnation	判罪勾杖
Crookclaw Elder	钩爪长老
Crookclaw Transmuter	钩爪易质师
Crooked Scales	歪曲量计
Crookshank Kobolds	歪脚鬼崽
Crop Rotation	轮耕法
Crop Sigil	燃田作印
Crosis's Attendant	克罗希司的随从
Crosis's Catacombs	克罗希司的墓穴
Crosis's Charm	克罗希司的护符
Crosis, the Purger	肃荡龙王克罗希司
Crossbow Ambush	十字弓奇袭
Crossbow Infantry	十字弓步兵
Crossroads Consecrator	会所祝圣僧
Crosstown Courier	跨镇讯使
Crossway Vampire	大道吸血鬼
Crosswinds	逆风
Crovax the Cursed	受诅咒的寇维克斯
Crovax, Ascendant Hero	天威勇将寇维克斯
Crow of Dark Tidings	暗潮乌鸦
Crowd Favorites	斗场明星
Crowd of Cinders	烬身集众
Crowd's Favor	群众眷宠
Crown of Ascension	飞升冠冕
Crown of Awe	敬畏冠冕
Crown of Convergence	齐心冠冕
Crown of Doom	末日冠冕
Crown of Empires	帝国冠冕
Crown of Flames	焰火冠冕
Crown of Fury	怒火冠冕
Crown of Suspicion	疑心冠冕
Crown of Vigor	元气冠冕
Crown of the Ages	远古的冠冕
Crown-Hunter Hireling	猎王佣兵
Crowned Ceratok	冠角龙
Crucible of Fire	火焰锤炼
Crucible of Worlds	世间锤炼
Crucible of the Spirit Dragon	灵龙蛰居
Crude Rampart	粗工壁垒
Cruel Bargain	痛苦的协议
Cruel Deceiver	残酷欺瞒者
Cruel Edict	残酷勒令
Cruel Entertainment	苦笑言欢
Cruel Fate	残酷的命运
Cruel Feeding	残酷进食
Cruel Finality	残酷终局
Cruel Reality	残酷现实
Cruel Revival	残酷复生
Cruel Sadist	残酷凌虐狂
Cruel Tutor	冷酷导师
Cruel Ultimatum	残酷通牒
Crumble	垮坏术
Crumble to Dust	溃碎化尘
Crumbling Ashes	余烬熄灭
Crumbling Colossus	崩毁巨像
Crumbling Necropolis	崩毁古陵寝
Crumbling Sanctuary	崩溃的圣坛
Crumbling Vestige	崩坏残骸
Crusade	十字军
Crusader of Odric	欧吉克圣战军
Crusading Knight	圣战骑士
Crush	压碎
Crush Underfoot	一脚踩扁
Crush of Tentacles	触手压境
Crush of Wurms	亚龙压境
Crusher Zendikon	碾破赞迪肯
Crushing Canopy	树冠压袭
Crushing Pain	剧痛再起
Crushing Vines	藤蔓压溃
Crux of Fate	命途交错
Cry of Contrition	悔罪哭喊
Cryoclasm	凛寒断层
Crypsis	保护色
Crypt Angel	墓穴天使
Crypt Champion	墓穴斗士
Crypt Cobra	墓穴眼镜蛇
Crypt Creeper	墓穴匐尸
Crypt Ghast	墓穴惧妖
Crypt Incursion	入侵墓穴
Crypt Rats	墓穴老鼠
Crypt Ripper	墓穴夺魂妖
Crypt Sliver	墓穴裂片妖
Crypt of Agadeem	艾格丁墓穴
Crypt of the Eternals	永生者墓穴
Cryptborn Horror	窖生惊惧兽
Cryptbreaker	逃墓灵俑
Cryptic Annelid	墓穴环节兽
Cryptic Command	地下指命
Cryptic Cruiser	墓穴巡体
Cryptic Gateway	隐密闸门
Cryptic Serpent	隐密巨蛇
Cryptolith Fragment	秘石碎片
Cryptolith Rite	秘石仪式
Cryptoplasm	隐密移型浆
Cryptwailing	墓穴悲泣
Crystal Ball	水晶球
Crystal Chimes	水晶钟铃
Crystal Golem	水晶魔像
Crystal Quarry	水晶采石场
Crystal Rod	水晶棒
Crystal Seer	水晶预言师
Crystal Shard	水晶碎片
Crystal Spray	晶体喷沫
Crystal Vein	水晶矿脉
Crystalline Crawler	晶澈匍体
Crystalline Nautilus	晶澈鹦鹉螺
Crystalline Sliver	水晶裂片妖
Crystallization	结晶化
Cudgel Troll	棍棒巨魔
Culling Dais	牲祭高台
Culling Drone	牲祭奴兽
Culling Mark	牲祭印记
Culling Scales	淘汰定规
Culling Sun	无情烈日
Culling the Weak	牲祭弱者
Cult of the Waxing Moon	盈月教信徒
Cultbrand Cinder	烙记烬身
Cultist's Staff	教众法杖
Cultivate	栽培
Cultivator Drone	育培奴兽
Cultivator of Blades	育剑师
Cultivator's Caravan	培育师篷车
Cultural Exchange	文化交流
Cumber Stone	拖碍石
Cunning	狡诈
Cunning Advisor	狡猾的参谋
Cunning Bandit	狡诈山贼
Cunning Breezedancer	舞风黠龙
Cunning Giant	狡诈巨人
Cunning Lethemancer	狡诈忘却术士
Cunning Sparkmage	狡诈火花法师
Cunning Strike	精巧一击
Cunning Survivor	狡黠遗民
Cunning Wish	黠智祈愿
Cuombajj Witches	阔贝姬女巫
Curator of Mysteries	护谜史芬斯
Curfew	宵禁
Curio Vendor	古物贩商
Curiosity	好奇
Curious Homunculus	好奇造妖
Curse Artifact	诅咒神器
Curse of Bloodletting	流血诅咒
Curse of Chains	锁链诅咒
Curse of Chaos	混沌诅咒
Curse of Death's Hold	死亡盘桓诅咒
Curse of Echoes	回响诅咒
Curse of Exhaustion	疲竭诅咒
Curse of Inertia	迟钝诅咒
Curse of Marit Lage	玛莉雷基的诅咒
Curse of Misfortunes	厄运诅咒
Curse of Oblivion	遗忘诅咒
Curse of Predation	猎捕诅咒
Curse of Shallow Graves	浅坟诅咒
Curse of Stalked Prey	遭觊猎物诅咒
Curse of Thirst	干渴诅咒
Curse of Vengeance	复仇诅咒
Curse of Wizardry	术法诅咒
Curse of the Bloody Tome	血书诅咒
Curse of the Cabal	柯帮诅咒
Curse of the Forsaken	绝弃诅咒
Curse of the Nightly Hunt	每夜行猎诅咒
Curse of the Pierced Heart	穿心诅咒
Curse of the Swine	野猪之咒
Cursebreak	断诅
Cursecatcher	捕咒师
Cursed Flesh	诅咒肉身
Cursed Land	诅咒土地
Cursed Minotaur	受诅牛头怪
Cursed Monstrosity	诅咒巨兽
Cursed Rack	诅咒拷问
Cursed Ronin	受诅浪人
Cursed Scroll	诅咒卷轴
Cursed Totem	诅咒图腾像
Curtain of Light	明光帘幕
Curtains' Call	谢幕演出
Custodi Lich	柩护巫妖
Custodi Peacekeeper	平乱柩护
Custodi Soulbinders	缚灵柩护
Custodi Soulcaller	唤魂柩护
Custodi Squire	柩护扈从
Custodian of the Trove	宝库监管者
Custody Battle	争夺监护权
Customs Depot	海关
Cut // Ribbons	割斩//碎身
Cut the Earthly Bond	斩尘缘
Cut the Tethers	切断栓炼
Cutthroat Maneuver	割喉计略
Cutthroat il-Dal	达奥黜人割喉客
Cycle of Life	生命循环
Cyclical Evolution	周期演化
Cyclone	气旋
Cyclone Sire	气旋君父
Cyclonic Rift	龙卷裂空
Cyclopean Giant	单眼巨人
Cyclopean Mummy	独眼木乃伊
Cyclopean Snare	巨型绊索
Cyclopean Tomb	独眼巨人墓
Cyclops Gladiator	独眼巨人角斗士
Cyclops Tyrant	独眼暴君
Cyclops of Eternal Fury	恒怒独眼巨人
Cyclops of One-Eyed Pass	独目峡独眼巨人
Cylian Elf	塞利亚地精
Cylian Sunsinger	塞利亚咏日师
Cystbearer	囊肿兽
Cytoplast Manipulator	胞塑体操弄师
Cytoplast Root-Kin	木身胞塑体
Cytoshape	细胞塑型
Cytospawn Shambler	跛行胞塑母体
D'Avenant Archer	阿维农箭手
D'Avenant Healer	阿维农治疗师
Dack Fayden	戴克费登
Dack's Duplicate	戴克的拟形妖
Dagger of the Worthy	豪英匕首
Daggerback Basilisk	匕背蜥怪
Daggerclaw Imp	刃爪小恶魔
Daggerdrome Imp	竞斗场小恶魔
Daghatar the Adamant	坚毅的达哈塔
Daily Regimen	日常养生
Dakkon Blackblade	黑剑达贡
Dakmor Bat	达克玛蝙蝠
Dakmor Ghoul	达克玛食尸鬼
Dakmor Lancer	达克玛枪骑兵
